certification_id,supplier_id,supplier_name_normalized,cert_name_raw,cert_name_normalized,expiry_date_raw,expiry_date,source_file,source_sheet,source_row,source_column
CERT_7450172497123296735,SUP_5136429958611442126,ASSELTECH S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4898230572260496846,SUP_5004336497437189384,AVIATRONIK TRESCAL S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_483631257003854740,SUP_5004336497437189384,AVIATRONIK TRESCAL S.P.A.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7542167493483900278,SUP_3407408735746686561,BARBIERI S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7542167493483900278,SUP_3407408735746686561,BARBIERI S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_372206901546600628,SUP_7542732991525812468,BELOTTI SISTEMI,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_372206901546600628,SUP_7542732991525812468,BELOTTI SISTEMI,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4304760996202293042,SUP_8273397182847123907,BERNER,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4304760996202293042,SUP_8273397182847123907,BERNER,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2511002991571478804,SUP_4062532336005468018,BOSSARD ITALIA S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
